fold	sentence
train	GOES-3 satellite decommissioned August 26 , 2016 The National Science Foundation ( NSF ) late last month decommissioned a 38-year-old communications satellite that for 21 years had helped to link NSF 's Amundsen-Scott South Pole Station with the outside world .; GOES-3 satellite decommissioned after linking Antarctica to the world for more than 20 years Jul 19 , 2016 | Earth , Energy & Environment , Space , Technology The National Science Foundation ( NSF ) late last month decommissioned a 38-year-old communications satellite that for 21 years had helped to link NSF ’ s Amundsen-Scott South Pole Station with the outside world .
train	Our operations and engineering staff is involved from the design through the decommissioning of each satellite that we procure .; Contrary popular belief the temporarily reduced coverage is not at all caused by Sky or any illegal activity , but by the decommissioning of a satellite that ( unknown to us and many others ) was at the end of its operational life .; Degrading flight control capabilities and instruments dictated the decision to decommission the satellite this spring .; Notes : A. Navigation signals from GIOVE-A were switched off on June 30 , 2012 , and the satellite decommissioned for ESA use .; This presents the advantage not only of freeing space for a new satellite but also of preventing the residual fuel in the decommissioned satellite from causing an untimely explosion in orbit , which would add new space junk .; This is the way of things , and generally the decommissioning of a satellite is of little note to the general public , except possibly when it deorbits in a spectacular but brief display across the sky .; The project will use several newly developed technologies to decommission an old Swiss satellite as a proof of concept .; The satellite was decommissioned in 2005 and they used the remaining fuel to lower the orbit .; University of Colorado students , staff help NASA decommission satellite Published : Tuesday , August 31 , 2010 - 12:56 in Astronomy & Space Related images ( click to enlarge ) Photo by Glenn Asakawa / University of Colorado University of Colorado at Boulder undergraduates , who have been helping to control five NASA satellites from campus , participated in the unusual decommissioning of a functioning satellite with a failed science payload in recent days , bringing the craft into Earth re-entry to burn up yesterday .; The Department of Defense and , eventually , the White House ( through a contact of Syncom ’ s ) encouraged Motorola to hold off on decommissioning the satellite constellation .; advertisement The decommissioned satellite will use its remaining fuel to move into a higher orbit , where it will be less likely to crash into other spacecraft .; B. Navigation signals from GIOVE-B were switched off on July 23 , 2012 , and the satellite decommissioned for ESA use .; The satellite is decommissioned and left to rust in space after that , but the problem is that there is no atmosphere at that height to eat them away .; The decommissioned satellite will use its remaining fuel to move into a higher orbit , where it will be less likely to crash into other spacecraft .
train	 The air force had decommissioned the CHIRP sensor in December last year , following 27 months of successful operation in orbit .; The air force had decommissioned the CHIRP sensor in December last year , following 27 months of successful operation in orbit , due to increasing budgetary constraints .
train	The other half of NEOSSat 's time it will be monitoring space debris , space junk from decommissioned satellites that are still in orbit .; To make matters worse , so much of it is literal junk , from decommissioned satellites to unidentifiable metal debris , which is extremely difficult to track - - at least , until now .; This leads to about 1100 active satellites , both private and public , and over 2500 decommissioned satellites all orbiting the Earth .; One of the satellites the antenna received , Marisat-F2 , was decommissioned 32 years after it was launched and eight years after it began serving as an important communications satellite for South Pole .; Some fi gures of decommissioned , future and the two current mini satellites is shown in Table 7 .; Other space debris includes decommissioned satellites , rocket bodies , mission related debris such as discarded lens caps and items dropped by astronauts on space walks .; Intelsat 's Marisat joined a cadre of about 2,000 decommissioned satellites that orbit the Earth as space debris .
train	When NOAA decommissions a geostationary satellite like GOES-12 , it is boosted further into orbit , the remaining fuel is expended , the battery is disabled and the transmitters are turned off .; When the NOAA decommissions a geostationary satellite like GOES-12 , it is boosted further into orbit , the remaining fuel is expended , the battery is disabled and the transmitters are turned off .
train	Formosat-1 was decommissioned in 2004 , while Formosat-2 and the weather satellite Formosat-3 remain in orbit .
train	Two TDRS spacecraft were decommissioned in 2009 and 2011 respectively , and a third satellite was lost in the 1986 space shuttle Challenger accident .
train	Landsat 5 , which was decommissioned last month after 28 years of service , has also run into problems .; The first TM sensor was carried aboard Landsat 4 , launched in 1982 , until its decommissioning in 2001 and one still operates aboard Landsat 5 , which as of 2009 has exceeded its designed life expectancy by over 22 years .
train	While Prowler is thought to have been decommissioned in around 1998 , it was followed by programs designed for similar missions .; Two have been decommissioned and were incinerated as they fell back into Earth 's atmosphere .
train	Landsat 5 was only decommissioned earlier this year after nearly 29 years in operation , giving it the record for the longest running Earth-observing satellite .
